company,ticker,date,file,PERMNO,Ticker,IssuerNm,event_trading_day,next_call_date,car_m1_p3,n_days_car,long_run_start,long_run_end,long_run_abret,n_days_long_run,total_words,pres_words,qa_words,core_hits_total,core_hits_pres,core_hits_qa,adj_hits_total,adj_hits_pres,adj_hits_qa,lm_positive_total,lm_negative_total,lm_uncertainty_count_total,lm_tone_total,lm_uncertainty_total,lm_positive_pres,lm_negative_pres,lm_uncertainty_count_pres,lm_tone_pres,lm_uncertainty_pres,lm_positive_qa,lm_negative_qa,lm_uncertainty_count_qa,lm_tone_qa,lm_uncertainty_qa,fiscal_quarter,fiscal_year,fiscal_period,core_per_1000_total,core_per_1000_pres,core_per_1000_qa,adj_per_1000_total,adj_per_1000_pres,adj_per_1000_qa
Oracle Corp,ORCL,2022-03-10,2022-Mar-10-ORCL.N-139346710200-Transcript.txt,10104,ORCL,ORACLE CORP,2022-03-10,2022-06-13,0.079489,5,2022-03-11,2022-06-10,-0.034878000000000006,64,7503,4184,3197,0,0,0,1,1,0,103,41,47,0.4305555555555556,0.006635606381476775,76,19,23,0.6,0.00588385776413405,27,21,24,0.125,0.007807417046193884,"3,0","2022,0",Q3 2022,0.0,0.0,0.0,0.1332800213248034,0.2390057361376673,0.0
Oracle Corp,ORCL,2022-06-13,2022-Jun-13-ORCL.N-140185486493-Transcript.txt,10104,ORCL,ORACLE CORP,2022-06-13,2022-09-12,0.09107599999999999,5,2022-06-14,2022-09-09,0.09694399999999995,61,6921,3452,3333,1,1,0,3,3,0,79,39,45,0.3389830508474576,0.006903958269407794,42,12,22,0.5555555555555556,0.006875,37,26,23,0.1746031746031746,0.007174048658764816,"4,0","2022,0",Q4 2022,0.14448779078167895,0.28968713789107764,0.0,0.43346337234503685,0.8690614136732329,0.0
Oracle Corp,ORCL,2022-09-12,2022-Sep-12-ORCL.N-138707918626-Transcript.txt,10104,ORCL,ORACLE CORP,2022-09-12,2022-12-12,-0.039462,5,2022-09-13,2022-12-09,0.08986300000000001,63,6634,3055,3448,7,7,0,1,0,1,59,47,52,0.11320754716981132,0.008321331413026083,23,11,23,0.35294117647058826,0.00819964349376114,36,35,29,0.014084507042253521,0.008690440515433023,"1,0","2023,0",Q1 2023,1.0551703346397348,2.2913256955810146,0.0,0.1507386192342478,0.0,0.2900232018561485
Oracle Corp,ORCL,2022-12-12,2022-Dec-12-ORCL.N-140500431181-Transcript.txt,10104,ORCL,ORACLE CORP,2022-12-12,2023-03-09,0.01725,5,2022-12-13,2023-03-08,0.07758900000000003,58,7684,4586,2974,13,8,5,8,5,3,68,42,43,0.23636363636363636,0.005929398786541644,40,9,20,0.6326530612244898,0.004662004662004662,28,32,23,-0.06666666666666667,0.00803633822501747,"2,0","2023,0",Q2 2023,1.691827173347215,1.7444395987788923,1.6812373907195697,1.041124414367517,1.0902747492368077,1.008742434431742
Oracle Corp,ORCL,2023-03-09,2023-Mar-09-ORCL.N-138300942700-Transcript.txt,10104,ORCL,ORACLE CORP,2023-03-09,2023-06-12,-0.021470999999999994,5,2023-03-10,2023-06-09,0.16266300000000003,64,7267,3626,3515,45,8,37,1,0,1,72,39,45,0.2972972972972973,0.0065549890750182084,38,12,20,0.52,0.005980861244019139,34,26,25,0.13333333333333333,0.0073163593795727245,"3,0","2023,0",Q3 2023,6.192376496490986,2.206287920573635,10.526315789473683,0.1376083665886886,0.0,0.2844950213371266
Oracle Corp,ORCL,2023-06-12,2023-Jun-12-ORCL.N-138913034482-Transcript.txt,10104,ORCL,ORACLE CORP,2023-06-12,2023-09-11,0.139119,5,2023-06-13,2023-09-08,0.06622900000000001,61,7177,3210,3833,31,25,6,0,0,0,82,36,62,0.3898305084745763,0.009171597633136094,40,9,23,0.6326530612244898,0.007801899592944369,42,26,39,0.23529411764705882,0.01054054054054054,"4,0","2023,0",Q4 2023,4.3193534903162885,7.788161993769471,1.5653535090007826,0.0,0.0,0.0
Oracle Corp,ORCL,2023-09-11,2023-Sep-11-ORCL.N-140403493547-Transcript.txt,10104,ORCL,ORACLE CORP,2023-09-11,2023-12-11,-0.097147,5,2023-09-12,2023-12-08,-0.11749299999999997,63,5873,2472,3272,42,16,26,8,1,7,62,41,56,0.20388349514563106,0.010143090019923928,24,11,26,0.37142857142857144,0.011509517485613104,38,29,30,0.13432835820895522,0.009508716323296355,"1,0","2024,0",Q1 2024,7.151370679380214,6.472491909385114,7.946210268948655,1.3621658436914694,0.4045307443365696,2.139364303178484
Oracle Corp,ORCL,2023-12-11,2023-Dec-11-ORCL.N-139934801612-Transcript.txt,10104,ORCL,ORACLE CORP,2023-12-11,2024-03-11,-0.14300100000000002,5,2023-12-12,2024-03-08,-0.10918100000000001,60,7702,2252,5313,22,5,17,5,1,4,50,37,58,0.14942528735632185,0.007928913192071087,16,8,21,0.3333333333333333,0.010096153846153847,34,28,37,0.0967741935483871,0.007225151337629369,"2,0","2024,0",Q2 2024,2.856400934822124,2.2202486678507993,3.199698851872765,0.6491820306413919,0.44404973357015987,0.7528703180877093
Oracle Corp,ORCL,2024-03-11,2024-Mar-11-ORCL.N-137323804975-Transcript.txt,10104,ORCL,ORACLE CORP,2024-03-11,2024-06-11,0.10177800000000002,5,2024-03-12,2024-06-10,0.062857,63,6675,2476,4060,23,14,9,7,2,5,59,27,60,0.37209302325581395,0.009456264775413711,25,6,21,0.6129032258064516,0.009162303664921465,34,20,39,0.25925925925925924,0.009913573970513472,"3,0","2024,0",Q3 2024,3.445692883895131,5.654281098546042,2.2167487684729066,1.048689138576779,0.8077544426494346,1.2315270935960592
Oracle Corp,ORCL,2024-06-11,2024-Jun-11-ORCL.N-137650330312-Transcript.txt,10104,ORCL,ORACLE CORP,2024-06-11,2024-09-09,0.08961600000000002,5,2024-06-12,2024-09-06,0.13740400000000003,60,6710,3022,3592,29,12,17,8,1,7,58,39,68,0.1958762886597938,0.010756089844985764,26,17,26,0.20930232558139536,0.009427121102248005,32,21,42,0.20754716981132076,0.01204473759678807,"4,0","2024,0",Q4 2024,4.321907600596125,3.970880211780278,4.732739420935412,1.1922503725782414,0.3309066843150232,1.9487750556792873
