company,ticker,date,file,PERMNO,Ticker,IssuerNm,event_trading_day,next_call_date,car_m1_p1,n_days_car,long_run_start,long_run_end,long_run_abret,n_days_long_run,total_words,pres_words,qa_words,core_hits_total,core_hits_pres,core_hits_qa,adj_hits_total,adj_hits_pres,adj_hits_qa,lm_positive_total,lm_negative_total,lm_uncertainty_count_total,lm_tone_total,lm_uncertainty_total,lm_positive_pres,lm_negative_pres,lm_uncertainty_count_pres,lm_tone_pres,lm_uncertainty_pres,lm_positive_qa,lm_negative_qa,lm_uncertainty_count_qa,lm_tone_qa,lm_uncertainty_qa,fiscal_quarter,fiscal_year,fiscal_period,core_per_1000_total,core_per_1000_pres,core_per_1000_qa,adj_per_1000_total,adj_per_1000_pres,adj_per_1000_qa,suescore,analyst_coverage,roa,book_to_market,firm_size,leverage
Apple Inc,AAPL,2022-01-27,2022-Jan-27-AAPL.OQ-138984465849-Transcript.txt,14593,AAPL,APPLE INC,2022-01-27,2022-04-28,0.055484,3,2022-01-31,2022-03-11,-0.051628,29,8687,3308,5219,0,0,0,0,0,0,138,71,81,0.3205741626794258,0.0098612125639152,76,18,19,0.6170212765957447,0.0060916960564283,62,51,62,0.0973451327433628,0.0125075650595118,1,2022,Q1 2022,0.0,0.0,0.0,0.0,0.0,0.0,3.37751,27.0,0.09084684580695766,0.024790076725115493,14.880788345222273,0.3221429676986078
Apple Inc,AAPL,2022-04-28,2022-Apr-28-AAPL.OQ-138491813375-Transcript.txt,14593,AAPL,APPLE INC,2022-04-28,2022-07-28,0.016351,3,2022-05-02,2022-06-10,-0.0759959999999999,29,8905,3257,5487,0,0,0,0,0,0,127,85,88,0.1981132075471698,0.0104265402843601,80,22,26,0.5686274509803921,0.0084801043705153,47,62,62,-0.1376146788990825,0.0118456247611769,2,2022,Q2 2022,0.0,0.0,0.0,0.0,0.0,0.0,1.89117,28.0,0.07132224193097626,0.023815872039210345,14.855788488169914,0.34215569408718366
Apple Inc,AAPL,2022-07-28,2022-Jul-28-AAPL.OQ-139999304673-Transcript.txt,14593,AAPL,APPLE INC,2022-07-28,2022-10-27,0.019435,3,2022-08-01,2022-09-09,-0.019761,29,8884,3165,5555,0,0,0,0,0,0,119,100,94,0.0867579908675799,0.0111387605166488,78,27,24,0.4857142857142857,0.0080160320641282,41,71,70,-0.2678571428571428,0.0132025650697849,3,2022,Q3 2022,0.0,0.0,0.0,0.0,0.0,0.0,0.71373,29.0,0.057809930748210725,0.026405550351853553,14.60422246783716,0.35589591714762314
Apple Inc,AAPL,2022-10-27,2022-Oct-27-AAPL.OQ-140449384074-Transcript.txt,14593,AAPL,APPLE INC,2022-10-27,2023-02-02,0.0128929999999999,3,2022-10-31,2022-12-09,-0.0923879999999999,29,8687,3797,4744,0,0,0,0,0,0,158,75,81,0.3562231759656652,0.009872029250457,96,28,19,0.5483870967741935,0.0053072625698324,62,45,62,0.1588785046728972,0.0137685987119697,4,2022,Q4 2022,0.0,0.0,0.0,0.0,0.0,0.0,0.38934,26.0,0.05874048560615725,0.022997380977632726,14.605503708852858,0.37555810690139046
Apple Inc,AAPL,2023-02-02,2023-Feb-02-AAPL.OQ-140682524715-Transcript.txt,14593,AAPL,APPLE INC,2023-02-02,2023-05-04,0.05506,3,2023-02-06,2023-03-17,0.070515,29,8726,3855,4706,2,0,2,0,0,0,121,86,62,0.1690821256038647,0.0075379939209726,78,32,19,0.4181818181818181,0.0052356020942408,43,52,43,-0.0947368421052631,0.00965424337674,1,2023,Q1 2023,0.2292000916800367,0.0,0.4249893752656183,0.0,0.0,0.0,-0.62242,27.0,0.08651264466599567,0.027558730750710622,14.537441454784604,0.32043536065200273
Apple Inc,AAPL,2023-05-04,2023-May-04-AAPL.OQ-139016265469-Transcript.txt,14593,AAPL,APPLE INC,2023-05-04,2023-08-03,0.023834,3,2023-05-08,2023-06-16,0.002215,29,8984,3389,5417,6,0,6,0,0,0,134,80,82,0.2523364485981308,0.0096675312426314,69,20,19,0.550561797752809,0.0059523809523809,65,58,62,0.056910569105691,0.0120740019474196,2,2023,Q2 2023,0.6678539626001782,0.0,1.1076241462063872,0.0,0.0,0.0,2.17906,26.0,0.07273603082851637,0.023973406409727085,14.768244938746586,0.3300066233140655
Apple Inc,AAPL,2023-08-03,2023-Aug-03-AAPL.OQ-138336763416-Transcript.txt,14593,AAPL,APPLE INC,2023-08-03,2023-11-02,-0.049857,3,2023-08-07,2023-09-15,-0.0266259999999999,29,9088,3380,5538,9,0,9,0,0,0,150,79,81,0.3100436681222707,0.0094493700419972,81,21,19,0.5882352941176471,0.0059729644765796,69,56,62,0.104,0.0118230358504958,3,2023,Q3 2023,0.9903169014084506,0.0,1.6251354279523291,0.0,0.0,0.0,1.07746,29.0,0.059339537604689616,0.019858218003444762,14.925793464599575,0.32617195661387666
Apple Inc,AAPL,2023-11-02,2023-Nov-02-AAPL.OQ-140502977515-Transcript.txt,14593,AAPL,APPLE INC,2023-11-02,2024-02-01,-0.007249,3,2023-11-06,2023-12-15,0.02815,29,9169,3479,5515,16,0,16,0,0,0,138,76,71,0.2897196261682243,0.0082233032198285,78,25,19,0.5145631067961165,0.0058103975535168,60,49,52,0.1009174311926605,0.0099808061420345,4,2023,Q4 2023,1.7450103609990184,0.0,2.901178603807797,0.0,0.0,0.0,2.8894,28.0,0.06510807384360562,0.02334274664780435,14.794710713642239,0.3514917054991307
Apple Inc,AAPL,2024-02-01,2024-Feb-01-AAPL.OQ-139920838259-Transcript.txt,14593,AAPL,APPLE INC,2024-02-01,2024-05-02,-0.0155559999999999,3,2024-02-05,2024-03-15,-0.1060909999999999,29,8390,3487,4751,22,4,18,0,0,0,149,67,60,0.3796296296296296,0.0076258261311642,83,21,16,0.5961538461538461,0.004920049200492,66,45,44,0.1891891891891892,0.0098126672613737,1,2024,Q1 2024,2.622169249106079,1.1471178663607686,3.7886760681961698,0.0,0.0,0.0,2.40187,27.0,0.09593962332467738,0.024894536411353044,14.906277732102815,0.30561731642876944
Apple Inc,AAPL,2024-05-02,2024-May-02-AAPL.OQ-139087762017-Transcript.txt,14593,AAPL,APPLE INC,2024-05-02,2024-08-01,0.056373,3,2024-05-06,2024-06-14,0.10784,29,8802,3184,5425,28,7,21,2,0,2,133,63,81,0.3571428571428571,0.0097508125677139,72,21,21,0.5483870967741935,0.0070469798657718,61,41,59,0.196078431372549,0.0114474194800155,2,2024,Q2 2024,3.1810952056350827,2.198492462311558,3.870967741935484,0.2272210861167916,0.0,0.3686635944700461,0.95502,27.0,0.07005106531796533,0.02820950518678053,14.782534857822379,0.30997803865315593
Apple Inc,AAPL,2024-08-01,2024-Aug-01-AAPL.OQ-140343799045-Transcript.txt,14593,AAPL,APPLE INC,2024-08-01,2024-10-31,0.02591,3,2024-08-05,2024-09-13,-0.039407,29,8876,3114,5635,17,8,9,1,1,0,135,53,75,0.4361702127659574,0.0088862559241706,74,16,16,0.6444444444444445,0.005427408412483,61,36,59,0.2577319587628865,0.0109583952451708,3,2024,Q3 2024,1.915277151870212,2.569043031470777,1.5971606033717836,0.1126633618747183,0.3211303789338471,0.0,1.40815,25.0,0.06467799717742422,0.020806508329802426,14.980569605488208,0.3054895480260063
Apple Inc,AAPL,2024-10-31,2024-Oct-31-AAPL.OQ-140309238402-Transcript.txt,14593,AAPL,APPLE INC,2024-10-31,2025-01-30,-0.030307,3,2024-11-04,2024-12-13,0.0503429999999999,29,8680,3260,5291,10,5,5,0,0,0,121,55,80,0.375,0.0096934448079486,68,10,14,0.7435897435897436,0.0045410314628608,53,44,66,0.0927835051546391,0.0130434782608695,4,2024,Q4 2024,1.152073732718894,1.5337423312883436,0.945000945000945,0.0,0.0,0.0,1.33532,27.0,0.04037481505835936,0.016168820598397644,15.074599514566275,0.32620691544742175
