ticker,date,fiscal_period,suescore,analyst_coverage,roa,book_to_market,firm_size,leverage,_missing_cause
ABT,2024-07-18,Q2 2024,,20.0,0.0178314639056658,0.2174754732435663,12.10510690977584,0.2020625333826369,B_ibes_gap
BAC,2024-07-16,Q2 2024,,18.0,0.0021169455088342,0.8646259186247736,12.641749827241318,0.2174094136395502,B_ibes_gap
BK,2024-07-12,Q2 2024,,15.0,0.0027255395658271,0.8258620217115414,10.696395102917892,0.1102093391733307,B_ibes_gap
C,2024-07-12,Q2 2024,,17.0,0.0013372485020904,1.5710918349085334,11.70411319004293,0.2984712053027701,B_ibes_gap
HON,2025-10-23,Q3 2025,13.95377,17.0,,0.1255726854671693,11.802932683423752,0.4722740586032601,C_compustat_gap
JNJ,2024-07-17,Q2 2024,,15.0,0.0258769217176179,0.2033573888161271,12.770774367861554,0.2291206485244742,B_ibes_gap
JPM,2024-07-12,Q2 2024,,17.0,0.0043806388747485,0.5502559849831157,13.262930339837784,0.2053841138903351,B_ibes_gap
META,2022-02-02,Q4 2021,,,0.0619626838246368,0.1354530987449391,13.7342303807744,0.0870791086048907,B_ibes_gap
META,2022-04-27,Q1 2022,,,0.045457866981695,0.2041939598038751,13.310476530480084,0.0892593990914516,B_ibes_gap
UNH,2024-07-16,Q2 2024,,21.0,0.0147383729060044,0.1905193556911237,13.058418727890093,0.2625290152977039,B_ibes_gap
USB,2024-07-17,Q2 2024,,13.0,0.0023571518899858,0.8008221433953661,11.034104418706027,0.1018692523284778,B_ibes_gap
WFC,2024-07-12,Q2 2024,,20.0,0.0025308326026907,0.7908573783449628,12.216453607905702,0.1558611454311255,B_ibes_gap
