indexname,gvkey,tic,companyname,primaryflag,companyid
S&P 100,007435,MMM,3M Company,1,289194
S&P 100,009899,T,AT&T Inc.,1,100231
S&P 100,016101,ABBV,AbbVie Inc.,1,141885706
S&P 100,001078,ABT,Abbott Laboratories,1,247483
S&P 100,143357,ACN,Accenture plc,1,972190
S&P 100,012540,ADBE,Adobe Inc.,1,24321
S&P 100,001161,AMD,"Advanced Micro Devices, Inc.",1,168864
S&P 100,160329,GOOG,Alphabet Inc.,0,29096
S&P 100,160329,GOOGL,Alphabet Inc.,1,29096
S&P 100,008543,MO,"Altria Group, Inc.",1,296308
S&P 100,064768,AMZN,"Amazon.com, Inc.",1,18749
S&P 100,001447,AXP,American Express Company,1,92001
S&P 100,001487,AIG,"American International Group, Inc.",1,250388
S&P 100,105365,AMT,American Tower Corporation,1,24766
S&P 100,001602,AMGN,Amgen Inc.,1,24816
S&P 100,001690,AAPL,Apple Inc.,1,24937
S&P 100,007647,BAC,Bank of America Corporation,1,19049
S&P 100,002176,BRK.B,Berkshire Hathaway Inc.,0,255251
S&P 100,124434,BLK,"BlackRock, Inc.",1,403413
S&P 100,119314,BKNG,Booking Holdings Inc.,1,33254
S&P 100,002403,BMY,Bristol-Myers Squibb Company,1,25798
S&P 100,180711,AVGO,Broadcom Inc.,1,25016048
S&P 100,007241,CVS,CVS Health Corporation,1,93625
S&P 100,030990,COF,Capital One Financial Corporation,1,336241
S&P 100,002817,CAT,Caterpillar Inc.,1,259378
S&P 100,002991,CVX,Chevron Corporation,1,98506
S&P 100,020779,CSCO,"Cisco Systems, Inc.",1,19691
S&P 100,003243,C,Citigroup Inc.,1,391687
S&P 100,003170,CL,Colgate-Palmolive Company,1,262247
S&P 100,003226,CMCSA,Comcast Corporation,1,173341
S&P 100,008549,COP,ConocoPhillips,1,296527
S&P 100,029028,COST,Costco Wholesale Corporation,1,92817
S&P 100,003735,DHR,Danaher Corporation,1,265621
S&P 100,003835,DE,Deere & Company,1,266112
S&P 100,004093,DUK,Duke Energy Corporation,1,267850
S&P 100,006730,LLY,Eli Lilly and Company,1,285467
S&P 100,004321,EMR,Emerson Electric Co.,1,269231
S&P 100,004503,XOM,Exxon Mobil Corporation,1,406338
S&P 100,004598,FDX,FedEx Corporation,1,124423
S&P 100,005046,GD,General Dynamics Corporation,1,274561
S&P 100,005047,GE,General Electric Company,1,177031
S&P 100,005073,GM,General Motors Company,1,61206100
S&P 100,024856,GILD,"Gilead Sciences, Inc.",1,29002
S&P 100,001300,HON,Honeywell International Inc.,1,1340740
S&P 100,006008,INTC,Intel Corporation,1,21127
S&P 100,006066,IBM,International Business Machines Corporation,1,112350
S&P 100,027928,INTU,Intuit Inc.,1,21171
S&P 100,136725,ISRG,"Intuitive Surgical, Inc.",1,30239
