costat,curcdq,datafmt,indfmt,consol,tic,datadate,gvkey,datacqtr,datafqtr,rdq,atq,ceqq,dlcq,dlttq,niq,saleq,mkvaltq
A,USD,STD,INDL,C,ABT,2023-12-31,001078,2023Q4,2023Q4,2024-01-24,73214.0000,38603.0000,1325.0000,14548.0000,1594.0000,10241.0000,190869.7453
A,USD,STD,INDL,C,ABT,2024-03-31,001078,2024Q1,2024Q1,2024-04-17,72467.0000,38810.0000,2010.0000,12576.0000,1225.0000,9964.0000,197726.8004
A,USD,STD,INDL,C,ABT,2021-12-31,001078,2021Q4,2021Q4,2022-01-26,75196.0000,35802.0000,999.0000,18252.0000,1989.0000,11468.0000,248276.9007
A,USD,STD,INDL,C,ABT,2022-03-31,001078,2022Q1,2022Q1,2022-04-20,74007.0000,35399.0000,4.0000,17086.0000,2447.0000,11895.0000,207241.4951
A,USD,STD,INDL,C,ABT,2022-06-30,001078,2022Q2,2022Q2,2022-07-20,74202.0000,36490.0000,5.0000,16318.0000,2018.0000,11257.0000,190270.0530
A,USD,STD,INDL,C,ABT,2022-09-30,001078,2022Q3,2022Q3,2022-10-19,72801.0000,35675.0000,1117.0000,15297.0000,1435.0000,10410.0000,168708.2202
A,USD,STD,INDL,C,ABT,2022-12-31,001078,2022Q4,2022Q4,2023-01-25,74438.0000,36686.0000,2481.0000,15465.0000,1033.0000,10091.0000,190792.5131
A,USD,STD,INDL,C,ABT,2023-03-31,001078,2023Q1,2023Q1,2023-04-19,73794.0000,37010.0000,2285.0000,14615.0000,1318.0000,9747.0000,176085.7732
A,USD,STD,INDL,C,ABT,2023-06-30,001078,2023Q2,2023Q2,2023-07-20,73354.0000,37174.0000,2284.0000,14149.0000,1375.0000,9978.0000,189188.6201
A,USD,STD,INDL,C,ABT,2023-09-30,001078,2023Q3,2023Q3,2023-10-18,72090.0000,37481.0000,1051.0000,14477.0000,1436.0000,10143.0000,168137.3142
A,USD,STD,INDL,C,ABT,2024-06-30,001078,2024Q2,2024Q2,2024-07-18,73017.0000,39318.0000,1615.0000,13139.0000,1302.0000,10377.0000,180792.8012
A,USD,STD,INDL,C,ABT,2024-09-30,001078,2024Q3,2024Q3,2024-10-16,74356.0000,39796.0000,2154.0000,12825.0000,1646.0000,10635.0000,197745.3286
A,USD,STD,INDL,C,ABT,2024-12-31,001078,2024Q4,2024Q4,2025-01-22,81414.0000,47664.0000,1754.0000,13521.0000,9229.0000,10974.0000,195872.3608
A,USD,STD,INDL,C,ABT,2025-03-31,001078,2025Q1,2025Q1,2025-04-16,81448.0000,48811.0000,506.0000,12736.0000,1325.0000,10358.0000,230789.3781
A,USD,STD,INDL,C,ABT,2025-06-30,001078,2025Q2,2025Q2,2025-07-17,83999.0000,50565.0000,507.0000,12930.0000,1779.0000,11142.0000,236719.9646
A,USD,STD,INDL,C,ABT,2025-09-30,001078,2025Q3,2025Q3,2025-10-15,84181.0000,50954.0000,1345.0000,11596.0000,1644.0000,11369.0000,232904.6496
A,USD,STD,INDL,C,ABT,2025-12-31,001078,2025Q4,2025Q4,2026-01-22,86713.0000,52130.0000,3309.0000,10827.0000,1776.0000,11459.0000,217578.4887
A,USD,STD,INDL,C,AMD,2021-12-31,001161,2021Q4,2021Q4,2022-02-01,12419.0000,7497.0000,383.0000,349.0000,974.0000,4826.0000,173687.3000
A,USD,STD,INDL,C,AMD,2022-03-31,001161,2022Q1,2022Q1,2022-05-03,66915.0000,55333.0000,312.0000,1845.0000,786.0000,5887.0000,177130.8000
A,USD,STD,INDL,C,AMD,2022-06-30,001161,2022Q2,2022Q2,2022-08-02,67502.0000,55169.0000,312.0000,2887.0000,447.0000,6550.0000,123269.6400
A,USD,STD,INDL,C,AMD,2022-09-30,001161,2022Q3,2022Q3,2022-11-01,67811.0000,54542.0000,,2890.0000,66.0000,5565.0000,102136.3200
A,USD,STD,INDL,C,AMD,2022-12-31,001161,2022Q4,2022Q4,2023-01-31,67580.0000,54750.0000,93.0000,2863.0000,21.0000,5599.0000,104409.2400
A,USD,STD,INDL,C,AMD,2023-03-31,001161,2023Q1,2023Q1,2023-05-02,67634.0000,54694.0000,,2848.0000,-139.0000,5353.0000,157698.0900
A,USD,STD,INDL,C,AMD,2023-06-30,001161,2023Q2,2023Q2,2023-08-01,67967.0000,55136.0000,753.0000,2107.0000,27.0000,5359.0000,183850.7400
A,USD,STD,INDL,C,AMD,2023-09-30,001161,2023Q3,2023Q3,2023-10-31,67626.0000,54970.0000,752.0000,2110.0000,299.0000,5800.0000,166054.3000
A,USD,STD,INDL,C,AMD,2023-12-31,001161,2023Q4,2023Q4,2024-01-30,67885.0000,55892.0000,857.0000,2252.0000,667.0000,6168.0000,238214.5600
A,USD,STD,INDL,C,AMD,2024-03-31,001161,2024Q1,2024Q1,2024-04-30,67895.0000,56198.0000,750.0000,2248.0000,123.0000,5473.0000,292032.8200
A,USD,STD,INDL,C,AMD,2024-06-30,001161,2024Q2,2024Q2,2024-07-30,67886.0000,56538.0000,,2245.0000,265.0000,5835.0000,262455.7800
A,USD,STD,INDL,C,AMD,2024-09-30,001161,2024Q3,2024Q3,2024-10-29,69636.0000,56985.0000,,2238.0000,771.0000,6819.0000,266301.8400
A,USD,STD,INDL,C,AMD,2024-12-31,001161,2024Q4,2024Q4,2025-02-04,69226.0000,57568.0000,109.0000,2212.0000,482.0000,7658.0000,195921.3800
A,USD,STD,INDL,C,AMD,2025-03-31,001161,2025Q1,2025Q1,2025-05-06,71550.0000,57881.0000,947.0000,3784.0000,709.0000,7438.0000,166027.8400
A,USD,STD,INDL,C,AMD,2025-06-30,001161,2025Q2,2025Q2,2025-08-05,74820.0000,59665.0000,,3886.0000,872.0000,7685.0000,230161.8000
A,USD,STD,INDL,C,AMD,2025-09-30,001161,2025Q3,2025Q3,2025-11-04,76891.0000,60790.0000,873.0000,2997.0000,1243.0000,9246.0000,263394.1200
A,USD,STD,INDL,C,AMD,2025-12-31,001161,2025Q4,2025Q4,2026-02-03,76926.0000,62999.0000,1033.0000,2973.0000,1511.0000,10270.0000,349080.8000
A,USD,STD,INDL,C,HON,2021-12-31,001300,2021Q4,2021Q4,2022-02-03,64470.0000,18569.0000,5530.0000,15101.0000,1428.0000,8657.0000,142787.6480
A,USD,STD,INDL,C,HON,2022-03-31,001300,2022Q1,2022Q1,2022-04-29,63352.0000,18365.0000,6939.0000,13479.0000,1134.0000,8376.0000,132457.0271
A,USD,STD,INDL,C,HON,2022-06-30,001300,2022Q2,2022Q2,2022-07-28,62258.0000,17541.0000,6786.0000,13289.0000,1261.0000,8953.0000,117094.4065
A,USD,STD,INDL,C,HON,2022-09-30,001300,2022Q3,2022Q3,2022-10-27,60287.0000,17707.0000,4940.0000,13007.0000,1552.0000,8951.0000,112257.6043
A,USD,STD,INDL,C,HON,2022-12-31,001300,2022Q4,2022Q4,2023-02-02,62275.0000,16697.0000,4639.0000,15898.0000,1019.0000,9186.0000,143066.6800
A,USD,STD,INDL,C,HON,2023-03-31,001300,2023Q1,2023Q1,2023-04-27,59883.0000,16919.0000,4685.0000,15426.0000,1394.0000,8864.0000,127224.1882
A,USD,STD,INDL,C,HON,2023-06-30,001300,2023Q2,2023Q2,2023-07-27,62337.0000,17299.0000,3965.0000,18399.0000,1487.0000,9146.0000,137771.9075
A,USD,STD,INDL,C,HON,2023-09-30,001300,2023Q3,2023Q3,2023-10-26,61296.0000,17231.0000,3796.0000,17505.0000,1514.0000,9212.0000,121790.0297
A,USD,STD,INDL,C,HON,2023-12-31,001300,2023Q4,2023Q4,2024-02-01,61525.0000,15856.0000,4077.0000,17459.0000,1263.0000,9440.0000,136688.9780
A,USD,STD,INDL,C,HON,2024-03-31,001300,2024Q1,2024Q1,2024-04-25,65645.0000,16454.0000,3269.0000,23085.0000,1463.0000,9105.0000,133655.9265
A,USD,STD,INDL,C,HON,2024-06-30,001300,2024Q2,2024Q2,2024-07-25,69329.0000,16947.0000,7261.0000,21769.0000,1544.0000,9577.0000,138730.7453
A,USD,STD,INDL,C,HON,2024-09-30,001300,2024Q3,2024Q3,2024-10-24,73492.0000,17406.0000,5099.0000,26875.0000,1413.0000,9728.0000,134412.5574
A,USD,STD,INDL,C,HON,2024-12-31,001300,2024Q4,2024Q4,2025-02-06,75196.0000,18619.0000,5819.0000,26406.0000,1285.0000,10088.0000,146783.3220
A,USD,STD,INDL,C,HON,2025-03-31,001300,2025Q1,2025Q1,2025-04-29,75218.0000,17463.0000,7293.0000,26698.0000,1449.0000,9822.0000,136088.1253
A,USD,STD,INDL,C,HON,2025-06-30,001300,2025Q2,2025Q2,2025-07-24,78419.0000,16095.0000,6553.0000,31095.0000,1570.0000,10352.0000,147854.8134
A,USD,STD,INDL,C,HON,2025-09-30,001300,2025Q3,2025Q3,2025-10-23,80917.0000,16782.0000,7156.0000,31059.0000,,7510.0000,133643.7135
A,USD,STD,INDL,C,HON,2025-12-31,001300,2025Q4,2025Q4,2026-01-29,73681.0000,13904.0000,7613.0000,27950.0000,1710.0000,9758.0000,123940.6770
A,USD,STD,INDL,C,AXP,2021-12-31,001447,2021Q4,2021Q4,2022-01-25,188548.0000,22177.0000,16426.0000,25613.0000,1719.0000,12437.0000,124499.6000
A,USD,STD,INDL,C,AXP,2022-03-31,001447,2022Q1,2022Q1,2022-04-22,195862.0000,22383.0000,2122.0000,38337.0000,2099.0000,12056.0000,141185.0000
