oftic,TICKER,MEASURE,FISCALP,PYEAR,PMON,anndats,suescore
AAPL,AAPL,EPS,QTR,2021,12,2022-01-27,3.37751
AAPL,AAPL,EPS,QTR,2022,3,2022-04-28,1.89117
AAPL,AAPL,EPS,QTR,2022,6,2022-07-28,0.71373
AAPL,AAPL,EPS,QTR,2022,9,2022-10-27,0.38934
AAPL,AAPL,EPS,QTR,2022,12,2023-02-02,-0.62242
AAPL,AAPL,EPS,QTR,2023,3,2023-05-04,2.17906
AAPL,AAPL,EPS,QTR,2023,6,2023-08-03,1.07746
AAPL,AAPL,EPS,QTR,2023,9,2023-11-02,2.8894
AAPL,AAPL,EPS,QTR,2023,12,2024-02-01,2.40187
AAPL,AAPL,EPS,QTR,2024,3,2024-05-02,0.95502
AAPL,AAPL,EPS,QTR,2024,6,2024-08-01,1.40815
AAPL,AAPL,EPS,QTR,2024,9,2024-10-31,1.33532
AAPL,AAPL,EPS,QTR,2024,12,2025-01-30,0.94971
AAPL,AAPL,EPS,QTR,2025,3,2025-05-01,0.8198
AAPL,AAPL,EPS,QTR,2025,6,2025-07-31,2.89968
AAPL,AAPL,EPS,QTR,2025,9,2025-10-30,1.30357
ABBV,ABBV,EPS,QTR,2021,12,2022-02-02,0.54356
ABBV,ABBV,EPS,QTR,2022,3,2022-04-29,3.45115
ABBV,ABBV,EPS,QTR,2022,6,2022-07-29,0.75648
ABBV,ABBV,EPS,QTR,2022,9,2022-10-28,1.93379
ABBV,ABBV,EPS,QTR,2022,12,2023-02-09,0.80545
ABBV,ABBV,EPS,QTR,2023,3,2023-04-27,0.03391
ABBV,ABBV,EPS,QTR,2023,6,2023-07-27,2.66516
ABBV,ABBV,EPS,QTR,2023,9,2023-10-27,2.60477
ABBV,ABBV,EPS,QTR,2023,12,2024-02-02,0.48167
ABBV,ABBV,EPS,QTR,2024,3,2024-04-26,2.16918
ABBV,ABBV,EPS,QTR,2024,6,2024-07-25,2.44761
ABBV,ABBV,EPS,QTR,2024,9,2024-10-30,3.36893
ABBV,ABBV,EPS,QTR,2024,12,2025-01-31,0.65878
ABBV,ABBV,EPS,QTR,2025,3,2025-04-25,1.63409
ABBV,ABBV,EPS,QTR,2025,6,2025-07-31,2.34784
ABBV,ABBV,EPS,QTR,2025,9,2025-10-31,1.58704
ABT,ABT,EPS,QTR,2021,12,2022-01-26,1.74901
ABT,ABT,EPS,QTR,2022,3,2022-04-20,5.62712
ABT,ABT,EPS,QTR,2022,6,2022-07-20,3.53967
ABT,ABT,EPS,QTR,2022,9,2022-10-19,2.79611
ABT,ABT,EPS,QTR,2022,12,2023-01-25,2.49236
ABT,ABT,EPS,QTR,2023,3,2023-04-19,2.46797
ABT,ABT,EPS,QTR,2023,6,2023-07-20,1.36708
ABT,ABT,EPS,QTR,2023,9,2023-10-18,3.88377
ABT,ABT,EPS,QTR,2023,12,2024-01-24,0.16299
ABT,ABT,EPS,QTR,2024,3,2024-04-17,2.17787
ABT,ABT,EPS,QTR,2024,9,2024-10-16,0.57021
ABT,ABT,EPS,QTR,2024,12,2025-01-22,-0.27304
ABT,ABT,EPS,QTR,2025,3,2025-04-16,1.88815
ABT,ABT,EPS,QTR,2025,6,2025-07-17,0.54453
ABT,ABT,EPS,QTR,2025,9,2025-10-15,-0.10867
ACN,ACNT,EPS,QTR,2022,2,2022-03-17,1.61763
ACN,ACNT,EPS,QTR,2022,5,2022-06-23,1.06497
ACN,ACNT,EPS,QTR,2022,8,2022-09-22,0.97366
ACN,ACNT,EPS,QTR,2022,11,2022-12-16,2.16167
ACN,ACNT,EPS,QTR,2023,2,2023-03-23,2.26181
ACN,ACNT,EPS,QTR,2023,5,2023-06-22,1.7595
ACN,ACNT,EPS,QTR,2023,8,2023-09-28,0.69018
ACN,ACNT,EPS,QTR,2023,11,2023-12-19,1.9091
ACN,ACNT,EPS,QTR,2024,2,2024-03-21,1.28441
ACN,ACNT,EPS,QTR,2024,5,2024-06-20,-0.38352
ACN,ACNT,EPS,QTR,2024,8,2024-09-26,0.23543
ACN,ACNT,EPS,QTR,2024,11,2024-12-19,1.99664
ACN,ACNT,EPS,QTR,2025,2,2025-03-20,0.03138
ACN,ACNT,EPS,QTR,2025,5,2025-06-20,3.24033
ACN,ACNT,EPS,QTR,2025,8,2025-09-25,1.62784
ACN,ACNT,EPS,QTR,2025,11,2025-12-18,2.77165
ADBE,ADBE,EPS,QTR,2022,2,2022-03-22,0.89307
ADBE,ADBE,EPS,QTR,2022,5,2022-06-16,1.31008
ADBE,ADBE,EPS,QTR,2022,8,2022-09-15,3.23194
ADBE,ADBE,EPS,QTR,2022,11,2022-12-15,7.64922
ADBE,ADBE,EPS,QTR,2023,2,2023-03-15,3.15488
ADBE,ADBE,EPS,QTR,2023,5,2023-06-15,3.87214
ADBE,ADBE,EPS,QTR,2023,8,2023-09-14,4.62447
ADBE,ADBE,EPS,QTR,2023,11,2023-12-13,7.52078
ADBE,ADBE,EPS,QTR,2024,2,2024-03-14,2.43176
ADBE,ADBE,EPS,QTR,2024,5,2024-06-13,2.48943
ADBE,ADBE,EPS,QTR,2024,8,2024-09-12,9.69124
ADBE,ADBE,EPS,QTR,2024,11,2024-12-11,7.83989
ADBE,ADBE,EPS,QTR,2025,2,2025-03-12,6.52043
ADBE,ADBE,EPS,QTR,2025,5,2025-06-12,4.38879
ADBE,ADBE,EPS,QTR,2025,8,2025-09-11,5.17759
ADBE,ADBE,EPS,QTR,2025,11,2025-12-10,2.52394
AIG,AIG,EPS,QTR,2021,12,2022-02-16,4.73301
AIG,AIG,EPS,QTR,2022,3,2022-05-03,0.70833
AIG,AIG,EPS,QTR,2022,6,2022-08-08,0.46795
AIG,AIG,EPS,QTR,2022,9,2022-11-01,0.49839
AIG,AIG,EPS,QTR,2022,12,2023-02-15,0.76889
AIG,AIG,EPS,QTR,2023,3,2023-05-04,1.98767
AIG,AIG,EPS,QTR,2023,6,2023-08-01,2.16092
AIG,AIG,EPS,QTR,2023,9,2023-11-01,0.74328
AIG,AIG,EPS,QTR,2023,12,2024-02-13,1.34395
AIG,AIG,EPS,QTR,2024,3,2024-05-01,1.59639
AIG,AIG,EPS,QTR,2024,6,2024-07-31,-2.03629
AIG,AIG,EPS,QTR,2024,9,2024-11-04,1.1566
AIG,AIG,EPS,QTR,2024,12,2025-02-11,0.86138
AIG,AIG,EPS,QTR,2025,3,2025-05-01,1.78868
AIG,AIG,EPS,QTR,2025,6,2025-08-06,3.4289
AIG,AIG,EPS,QTR,2025,9,2025-11-04,5.41124
AMD,AMD,EPS,QTR,2021,12,2022-02-01,7.86542
AMD,AMD,EPS,QTR,2022,3,2022-05-03,6.5562
AMD,AMD,EPS,QTR,2022,6,2022-08-02,0.50217
AMD,AMD,EPS,QTR,2022,9,2022-11-01,-0.17196
AMD,AMD,EPS,QTR,2022,12,2023-01-31,0.90461
AMD,AMD,EPS,QTR,2023,3,2023-05-02,2.68868
AMD,AMD,EPS,QTR,2023,6,2023-08-01,0.48716
AMD,AMD,EPS,QTR,2023,9,2023-10-31,0.84976
AMD,AMD,EPS,QTR,2023,12,2024-01-30,-0.10628
AMD,AMD,EPS,QTR,2024,3,2024-04-30,0.21074
AMD,AMD,EPS,QTR,2024,6,2024-07-30,0.63915
AMD,AMD,EPS,QTR,2024,9,2024-10-29,0.24039
AMD,AMD,EPS,QTR,2024,12,2025-02-04,0.54985
AMD,AMD,EPS,QTR,2025,3,2025-05-06,0.58997
AMD,AMD,EPS,QTR,2025,6,2025-08-05,-0.22729
AMD,AMD,EPS,QTR,2025,9,2025-11-04,1.12383
AMGN,AMGN,EPS,QTR,2021,12,2022-02-07,1.28562
AMGN,AMGN,EPS,QTR,2022,3,2022-04-27,0.69495
AMGN,AMGN,EPS,QTR,2022,6,2022-08-04,1.38471
AMGN,AMGN,EPS,QTR,2022,9,2022-11-03,1.99379
AMGN,AMGN,EPS,QTR,2022,12,2023-01-31,-0.05459
AMGN,AMGN,EPS,QTR,2023,3,2023-04-27,0.55328
AMGN,AMGN,EPS,QTR,2023,6,2023-08-03,2.5092
AMGN,AMGN,EPS,QTR,2023,9,2023-10-31,2.30691
AMGN,AMGN,EPS,QTR,2023,12,2024-02-06,0.49679
AMGN,AMGN,EPS,QTR,2024,3,2024-05-02,0.28146
AMGN,AMGN,EPS,QTR,2024,6,2024-08-06,-0.23305
AMGN,AMGN,EPS,QTR,2024,9,2024-10-30,3.37281
AMGN,AMGN,EPS,QTR,2024,12,2025-02-04,1.06008
AMGN,AMGN,EPS,QTR,2025,3,2025-05-01,2.1543
AMGN,AMGN,EPS,QTR,2025,6,2025-08-05,3.23124
AMGN,AMGN,EPS,QTR,2025,9,2025-11-04,2.768
AMT,AMT2,EPS,QTR,2021,12,2022-02-24,-1.99852
AMT,AMT2,EPS,QTR,2022,3,2022-04-27,4.97436
AMT,AMT2,EPS,QTR,2022,6,2022-07-28,15.40534
AMT,AMT2,EPS,QTR,2022,9,2022-10-27,3.46462
AMT,AMT2,EPS,QTR,2022,12,2023-02-23,-33.96262
AMT,AMT2,EPS,QTR,2023,3,2023-04-26,-5.73144
AMT,AMT2,EPS,QTR,2023,6,2023-07-27,-0.9172
AMT,AMT2,EPS,QTR,2023,9,2023-10-26,3.4245
AMT,AMT2,EPS,QTR,2023,12,2024-02-27,-5.1865
AMT,AMT2,EPS,QTR,2024,3,2024-04-30,2.40821
AMT,AMT2,EPS,QTR,2024,6,2024-07-30,4.87532
AMT,AMT2,EPS,QTR,2024,9,2024-10-29,-4.30099
AMT,AMT2,EPS,QTR,2024,12,2025-02-25,3.17416
AMT,AMT2,EPS,QTR,2025,3,2025-04-29,-9.56777
AMT,AMT2,EPS,QTR,2025,6,2025-07-29,-22.04801
AMT,AMT2,EPS,QTR,2025,9,2025-10-28,2.36974
AMZN,AMZN,EPS,QTR,2021,12,2022-02-03,1.40161
AMZN,AMZN,EPS,QTR,2022,3,2022-04-28,-0.86669
AMZN,AMZN,EPS,QTR,2022,6,2022-07-28,0.33891
AMZN,AMZN,EPS,QTR,2022,9,2022-10-27,-0.58342
AMZN,AMZN,EPS,QTR,2022,12,2023-02-02,0.92003
AMZN,AMZN,EPS,QTR,2023,3,2023-04-27,1.39461
AMZN,AMZN,EPS,QTR,2023,6,2023-08-03,4.29396
AMZN,AMZN,EPS,QTR,2023,9,2023-10-26,5.02071
AMZN,AMZN,EPS,QTR,2023,12,2024-02-01,1.87012
AMZN,AMZN,EPS,QTR,2024,3,2024-04-30,1.64718
AMZN,AMZN,EPS,QTR,2024,6,2024-08-01,2.47735
AMZN,AMZN,EPS,QTR,2024,9,2024-10-31,4.13532
AMZN,AMZN,EPS,QTR,2024,12,2025-02-06,3.6228
AMZN,AMZN,EPS,QTR,2025,3,2025-05-01,2.41029
AMZN,AMZN,EPS,QTR,2025,6,2025-07-31,3.17733
AMZN,AMZN,EPS,QTR,2025,9,2025-10-30,2.7656
AVGO,AOVG,EPS,QTR,2022,1,2022-03-03,1.4414
AVGO,AOVG,EPS,QTR,2022,4,2022-05-26,5.1138
AVGO,AOVG,EPS,QTR,2022,7,2022-09-01,0.93337
AVGO,AOVG,EPS,QTR,2022,10,2022-12-08,1.88416
AVGO,AOVG,EPS,QTR,2023,1,2023-03-02,0.70662
AVGO,AOVG,EPS,QTR,2023,4,2023-06-01,0.94529
AVGO,AOVG,EPS,QTR,2023,7,2023-08-31,0.52386
AVGO,AOVG,EPS,QTR,2023,10,2023-12-07,0.29883
AVGO,AOVG,EPS,QTR,2024,1,2024-03-07,1.0516
AVGO,AOVG,EPS,QTR,2024,4,2024-06-12,0.1604
AVGO,AOVG,EPS,QTR,2024,7,2024-09-05,0.51431
AVGO,AOVG,EPS,QTR,2024,10,2024-12-12,0.61182
AVGO,AOVG,EPS,QTR,2025,1,2025-03-06,1.40507
AVGO,AOVG,EPS,QTR,2025,4,2025-06-05,0.35595
AVGO,AOVG,EPS,QTR,2025,7,2025-09-04,0.67607
AVGO,AOVG,EPS,QTR,2025,10,2025-12-11,1.14161
AXP,AXP,EPS,QTR,2021,12,2022-01-25,1.40622
AXP,AXP,EPS,QTR,2022,3,2022-04-22,1.13704
AXP,AXP,EPS,QTR,2022,6,2022-07-22,1.48337
AXP,AXP,EPS,QTR,2022,9,2022-10-21,0.45719
AXP,AXP,EPS,QTR,2022,12,2023-01-27,-0.76593
AXP,AXP,EPS,QTR,2023,3,2023-04-20,-1.46885
AXP,AXP,EPS,QTR,2023,6,2023-07-21,0.78415
AXP,AXP,EPS,QTR,2023,9,2023-10-20,3.78563
AXP,AXP,EPS,QTR,2023,12,2024-01-26,-0.18716
AXP,AXP,EPS,QTR,2024,3,2024-04-19,2.86595
AXP,AXP,EPS,QTR,2024,6,2024-07-19,2.27626
AXP,AXP,EPS,QTR,2024,9,2024-10-18,2.22749
AXP,AXP,EPS,QTR,2024,12,2025-01-24,0.01772
AXP,AXP,EPS,QTR,2025,3,2025-04-17,1.56385
AXP,AXP,EPS,QTR,2025,6,2025-07-18,2.50595
AXP,AXP,EPS,QTR,2025,9,2025-10-17,1.55276
BA,BA,EPS,QTR,2021,12,2022-01-26,-12.48244
BA,BA,EPS,QTR,2022,3,2022-04-27,-8.49952
BA,BA,EPS,QTR,2022,6,2022-07-27,-0.82634
BA,BA,EPS,QTR,2022,9,2022-10-26,-19.98771
BA,BA,EPS,QTR,2022,12,2023-01-25,-2.88575
BA,BA,EPS,QTR,2023,3,2023-04-26,-0.51776
BA,BA,EPS,QTR,2023,6,2023-07-26,0.21827
BA,BA,EPS,QTR,2023,9,2023-10-25,-0.60993
BA,BA,EPS,QTR,2023,12,2024-01-31,0.87996
BA,BA,EPS,QTR,2024,3,2024-04-24,1.2215
BA,BA,EPS,QTR,2024,6,2024-07-31,-1.1059
BA,BA,EPS,QTR,2024,9,2024-10-23,3.10723
BA,BA,EPS,QTR,2024,12,2025-01-28,-1.45205
BA,BA,EPS,QTR,2025,3,2025-04-23,1.29813
BA,BA,EPS,QTR,2025,6,2025-07-29,0.86693
BA,BA,EPS,QTR,2025,9,2025-10-29,-1.41285
BAC,NCB,EPS,QTR,2021,12,2022-01-19,2.05699
BAC,NCB,EPS,QTR,2022,3,2022-04-18,1.009
BAC,NCB,EPS,QTR,2022,6,2022-07-18,0.74112
BAC,NCB,EPS,QTR,2022,9,2022-10-17,0.80002
BAC,NCB,EPS,QTR,2022,12,2023-01-13,2.09289
BAC,NCB,EPS,QTR,2023,3,2023-04-18,1.88639
BAC,NCB,EPS,QTR,2023,6,2023-07-18,1.2423
BAC,NCB,EPS,QTR,2023,9,2023-10-17,2.92827
BAC,NCB,EPS,QTR,2023,12,2024-01-12,0.23599
BAC,NCB,EPS,QTR,2024,3,2024-04-16,2.11782
BAC,NCB,EPS,QTR,2024,9,2024-10-15,1.68932
BAC,NCB,EPS,QTR,2024,12,2025-01-16,2.94553
BAC,NCB,EPS,QTR,2025,3,2025-04-15,3.53712
BAC,NCB,EPS,QTR,2025,6,2025-07-16,1.1639
BAC,NCB,EPS,QTR,2025,9,2025-10-15,3.94111
BK,BK,EPS,QTR,2021,12,2022-01-18,1.08726
BK,BK,EPS,QTR,2022,3,2022-04-18,1.39254
BK,BK,EPS,QTR,2022,6,2022-07-15,0.97158
BK,BK,EPS,QTR,2022,9,2022-10-17,-0.78538
BK,BK,EPS,QTR,2022,12,2023-01-13,-1.91456
BK,BK,EPS,QTR,2023,3,2023-04-18,-0.04089
BK,BK,EPS,QTR,2023,6,2023-07-18,2.21785
BK,BK,EPS,QTR,2023,9,2023-10-17,1.43784
BK,BK,EPS,QTR,2023,12,2024-01-12,4.53697
BK,BK,EPS,QTR,2024,3,2024-04-16,2.16336
BK,BK,EPS,QTR,2024,9,2024-10-11,3.71298
BK,BK,EPS,QTR,2024,12,2025-01-15,3.07617
BK,BK,EPS,QTR,2025,3,2025-04-11,1.20998
BK,BK,EPS,QTR,2025,6,2025-07-15,8.56043
BK,BK,EPS,QTR,2025,9,2025-10-16,3.47409
BKNG,PCLN,EPS,QTR,2021,12,2022-02-23,1.07672
BKNG,PCLN,EPS,QTR,2022,3,2022-05-04,1.22383
BKNG,PCLN,EPS,QTR,2022,6,2022-08-03,0.72405
BKNG,PCLN,EPS,QTR,2022,9,2022-11-02,1.35191
BKNG,PCLN,EPS,QTR,2022,12,2023-02-23,1.22001
BKNG,PCLN,EPS,QTR,2023,3,2023-05-04,0.74815
BKNG,PCLN,EPS,QTR,2023,6,2023-08-03,5.08718
BKNG,PCLN,EPS,QTR,2023,9,2023-11-02,1.79364
BKNG,PCLN,EPS,QTR,2023,12,2024-02-22,0.92554
BKNG,PCLN,EPS,QTR,2024,3,2024-05-02,3.62668
BKNG,PCLN,EPS,QTR,2024,6,2024-08-01,1.42138
BKNG,PCLN,EPS,QTR,2024,9,2024-10-30,4.27644
BKNG,PCLN,EPS,QTR,2024,12,2025-02-20,3.0677
BKNG,PCLN,EPS,QTR,2025,3,2025-04-29,4.33681
BKNG,PCLN,EPS,QTR,2025,6,2025-07-29,2.24141
BKNG,PCLN,EPS,QTR,2025,9,2025-10-28,1.36466
BLK,BLKI,EPS,QTR,2021,12,2022-01-14,0.76604
BLK,BLKI,EPS,QTR,2022,3,2022-04-13,2.03948
BLK,BLKI,EPS,QTR,2022,6,2022-07-15,-1.47005
BLK,BLKI,EPS,QTR,2022,9,2022-10-13,4.43797
BLK,BLKI,EPS,QTR,2022,12,2023-01-13,1.83898
