Table 1c: Summary Statistics — Full Sample vs. Ex-Semiconductor
Full sample: N = 94 firms, 1504 obs
Ex-semi:     N = 89 firms, 1424 obs  (excl. NVDA, AMD, INTC, QCOM, AVGO, TXN)

                  Variable Full_N  Full_Mean   Full_SD ExSemi_N ExSemi_Mean
               CAR [-1,+1]   1504     0.0029    0.0657     1424      0.0035
             CAR [+2, +30]   1504     0.0019    0.0785     1424      0.0007
 AI core (per 1000, total)   1504     1.3182    2.9833     1424      1.0882
  AI core (per 1000, pres)   1504     1.8079    4.2064     1424      1.4342
   AI core (per 1000, Q&A)   1504     1.0186    2.4406     1424      0.8550
  AI adj (per 1000, total)   1504     0.3394    0.5457     1424      0.3167
   AI adj (per 1000, pres)   1504     0.4828    0.8786     1424      0.4332
    AI adj (per 1000, Q&A)   1504     0.2578    0.4768     1424      0.2479
           LM Tone (total)   1504     0.3205    0.1896     1424      0.3211
    LM Uncertainty (total)   1504     0.0096    0.0021     1424      0.0097
            LM Tone (pres)   1504     0.5027    0.2510     1424      0.4973
     LM Uncertainty (pres)   1504     0.0084    0.0043     1424      0.0085
             LM Tone (Q&A)   1504     0.1889    0.2090     1424      0.1901
      LM Uncertainty (Q&A)   1504     0.0108    0.0023     1424      0.0109
               Total words   1504 10047.8364 1837.3323     1424  10120.5463
        Presentation words   1504  3491.7965 1455.8853     1424   3534.6320
                 Q&A words   1504  6388.5020 1584.1985     1424   6417.7163
                 SUE Score   1493     2.1782    4.0329     1413      2.1505
          Analyst Coverage   1502    21.1025    7.2050     1422     20.6828
                       ROA   1504     0.0221    0.0267     1424      0.0207
            Book-to-Market   1504     0.2939    0.3373     1424      0.2954
     Firm Size (ln MktCap)   1504    12.0782    0.9027     1424     12.0596
                  Leverage   1504     0.3284    0.1986     1424      0.3340
 ExSemi_SD Diff_Mean
    0.0652   -0.0005
    0.0766    0.0012
    2.5420    0.2300
    3.4622    0.3736
    2.0761    0.1636
    0.5207    0.0227
    0.8154    0.0497
    0.4590    0.0099
    0.1876   -0.0005
    0.0021    0.0000
    0.2521    0.0054
    0.0044   -0.0001
    0.2086   -0.0012
    0.0023    0.0000
 1826.7568  -72.7099
 1463.2466  -42.8355
 1609.4822  -29.2143
    3.9842    0.0277
    7.0737    0.4197
    0.0227    0.0014
    0.3398   -0.0015
    0.8960    0.0185
    0.2007   -0.0056
