company,ticker,date,file,PERMNO,Ticker,IssuerNm,event_trading_day,next_call_date,car_m1_p3,n_days_car,long_run_start,long_run_end,long_run_abret,n_days_long_run,total_words,pres_words,qa_words,core_hits_total,core_hits_pres,core_hits_qa,adj_hits_total,adj_hits_pres,adj_hits_qa,lm_positive_total,lm_negative_total,lm_uncertainty_count_total,lm_tone_total,lm_uncertainty_total,lm_positive_pres,lm_negative_pres,lm_uncertainty_count_pres,lm_tone_pres,lm_uncertainty_pres,lm_positive_qa,lm_negative_qa,lm_uncertainty_count_qa,lm_tone_qa,lm_uncertainty_qa,fiscal_quarter,fiscal_year,fiscal_period,core_per_1000_total,core_per_1000_pres,core_per_1000_qa,adj_per_1000_total,adj_per_1000_pres,adj_per_1000_qa
Microsoft Corp,MSFT,2022-01-25,2022-Jan-25-MSFT.OQ-140806504057-Transcript.txt,10107,MSFT,MICROSOFT CORP,2022-01-25,2022-04-26,0.039140999999999995,5,2022-01-26,2022-04-25,-0.0029910000000000075,62,9526,5452,3936,5,4,1,14,7,7,153,48,79,0.5223880597014925,0.008754432624113476,99,18,40,0.6923076923076923,0.00777302759424796,54,29,39,0.30120481927710846,0.010361317747077577,2,2022,Q2 2022,0.5248792777661139,0.7336757153338225,0.2540650406504065,1.4696619777451185,1.2839325018341892,1.7784552845528454
Microsoft Corp,MSFT,2022-04-26,2022-Apr-26-MSFT.OQ-138905362958-Transcript.txt,10107,MSFT,MICROSOFT CORP,2022-04-26,2022-07-26,0.048218,5,2022-04-27,2022-07-25,0.017476000000000002,61,9923,5382,4399,13,5,8,12,5,7,130,76,103,0.2621359223300971,0.011000747623624907,79,40,49,0.3277310924369748,0.009735744089012517,51,35,54,0.18604651162790697,0.012826603325415678,3,2022,Q3 2022,1.3100876750982566,0.9290226681531029,1.8185951352580132,1.2093117000906983,0.9290226681531029,1.5912707433507616
Microsoft Corp,MSFT,2022-07-26,2022-Jul-26-MSFT.OQ-139232561311-Transcript.txt,10107,MSFT,MICROSOFT CORP,2022-07-26,2022-10-25,0.03709499999999999,5,2022-07-27,2022-10-24,0.022081000000000014,63,9703,6045,3512,9,9,0,3,3,0,112,90,81,0.10891089108910891,0.00886893682251177,83,54,48,0.2116788321167883,0.008477569763334511,29,35,33,-0.09375,0.009850746268656717,4,2022,Q4 2022,0.9275481809749562,1.488833746898263,0.0,0.30918272699165206,0.49627791563275436,0.0
Microsoft Corp,MSFT,2022-10-25,2022-Oct-25-MSFT.OQ-137469915199-Transcript.txt,10107,MSFT,MICROSOFT CORP,2022-10-25,2023-01-24,-0.061268,5,2022-10-26,2023-01-23,-0.06976600000000001,60,9893,5655,4096,20,6,14,6,4,2,129,85,99,0.205607476635514,0.010612069889591597,70,40,53,0.2727272727272727,0.010022692889561272,59,44,46,0.14563106796116504,0.011731701096659015,1,2023,Q1 2023,2.0216314565854647,1.0610079575596816,3.41796875,0.6064894369756394,0.7073386383731212,0.48828125
Microsoft Corp,MSFT,2023-01-24,2023-Jan-24-MSFT.OQ-139975820358-Transcript.txt,10107,MSFT,MICROSOFT CORP,2023-01-24,2023-04-25,0.008239000000000003,5,2023-01-25,2023-04-24,0.141857,62,9604,5633,3819,49,27,22,13,8,5,105,87,94,0.09375,0.010434010434010434,72,56,53,0.125,0.010129969418960244,33,30,41,0.047619047619047616,0.011242116808335619,2,2023,Q2 2023,5.1020408163265305,4.7931830285815735,5.760670332547788,1.3536026655560183,1.4202023788389844,1.3092432573972246
Microsoft Corp,MSFT,2023-04-25,2023-Apr-25-MSFT.OQ-139717566700-Transcript.txt,10107,MSFT,MICROSOFT CORP,2023-04-25,2023-07-25,0.070937,5,2023-04-26,2023-07-24,0.123525,61,9594,5475,3976,97,60,37,16,14,2,134,55,94,0.41798941798941797,0.010378712597990504,81,26,46,0.514018691588785,0.008972108445484689,53,28,48,0.30864197530864196,0.01260173273825151,3,2023,Q3 2023,10.110485720241819,10.95890410958904,9.305835010060363,1.6677089847821556,2.557077625570776,0.5030181086519115
Microsoft Corp,MSFT,2023-07-25,2023-Jul-25-MSFT.OQ-137462259693-Transcript.txt,10107,MSFT,MICROSOFT CORP,2023-07-25,2023-10-24,-0.023971,5,2023-07-26,2023-10-23,0.028720000000000006,63,10370,5550,4674,133,58,75,18,13,5,117,55,83,0.36046511627906974,0.008452138492871691,74,24,39,0.5102040816326531,0.0074985579696212265,43,30,44,0.1780821917808219,0.009786476868327402,4,2023,Q4 2023,12.825458052073287,10.450450450450452,16.046213093709884,1.7357762777242043,2.3423423423423424,1.069747539580659
Microsoft Corp,MSFT,2023-10-24,2023-Oct-24-MSFT.OQ-139993350133-Transcript.txt,10107,MSFT,MICROSOFT CORP,2023-10-24,2024-01-30,0.035571,5,2023-10-25,2024-01-29,0.06735700000000003,65,9429,5419,3869,96,66,30,15,13,2,148,49,82,0.5025380710659898,0.009197980931015143,81,16,50,0.6701030927835051,0.0098405825624877,67,32,32,0.35353535353535354,0.008613728129205921,1,2024,Q1 2024,10.181355392936684,12.17936888724857,7.7539415869733785,1.590836780146357,2.3989665990035065,0.5169294391315585
Microsoft Corp,MSFT,2024-01-30,2024-Jan-30-MSFT.OQ-139756114312-Transcript.txt,10107,MSFT,MICROSOFT CORP,2024-01-30,2024-04-25,0.007434000000000001,5,2024-01-31,2024-04-24,-0.02299600000000001,59,9864,5461,4249,146,86,60,10,10,0,114,49,81,0.3987730061349693,0.008692852543464262,70,20,36,0.5555555555555556,0.007058823529411765,44,28,45,0.2222222222222222,0.011013215859030838,2,2024,Q2 2024,14.801297648012977,15.748031496062993,14.120969639915273,1.013787510137875,1.8311664530305805,0.0
Microsoft Corp,MSFT,2024-04-25,2024-Apr-25-MSFT.OQ-140045891799-Transcript.txt,10107,MSFT,MICROSOFT CORP,2024-04-25,2024-07-30,-0.037207000000000004,5,2024-04-26,2024-07-29,-0.004226000000000004,64,9690,5215,4331,128,80,48,17,16,1,126,57,90,0.3770491803278688,0.009790057652561732,69,21,40,0.5333333333333333,0.008168266285480907,57,35,50,0.2391304347826087,0.011976047904191617,3,2024,Q3 2024,13.209494324045407,15.340364333652923,11.082890787347033,1.7543859649122808,3.0680728667305845,0.23089355806972986
